"I_HGFi","-25.561558495119 (-93.3604207592418, 0.909725842699919)","-26.9138428754544 (-94.7440189803231, -0.482041732908413)","-26.7187923121832 (-94.8168737837343, 0.129272351657668)","-27.7148018709218 (-95.5348110661679, -1.33139015161746)","-26.1848418470256 (-94.0034847747937, 0.228658565261962)","-70.5561053816675 (-176.372964424404, -14.0757454849908)","-27.4308298124583 (-95.2437401674219, -1.00516689345106)","0.637983359005916 (-74.9186200682347, 67.9183785787994)","-28.4808919550094 (-96.4267949263648, -1.83130065351873)","I_HGFi","-25.6511609413575 (-93.4972423146376, 1.04324843929297)","-27.5004848331991 (-95.4276617983024, -1.07767342953706)","-77.433370179354 (-185.326617299433, -17.3263486182697)","-27.3191845497989 (-95.1355490166248, -0.839320411071436)","-26.5048138066427 (-94.5356356010136, 0.309912054877465)","-26.7047504638581 (-94.4679245546541, -0.258777269283711)","-25.6792154854225 (-93.5053461185295, 0.945110504609345)","-25.5502193693148 (-93.3204098314751, 1.02972026401508)","-25.3340920413063 (-93.1257559330937, 1.37705440823614)","-27.6121307853054 (-95.4287672012316, -1.1450408715628)","-73.9384391982107 (-183.450862777577, -13.9085251839035)"
"I_IGF_1Ri","0.0554424190965066 (-3.04128568597112, 2.9154936479074)","-1.24477381770484 (-4.10186119917643, 1.18972456472604)","-1.0988597710048 (-5.5726288195924, 3.52109414376087)","-2.04846255220708 (-4.77858712311848, 0.186217827580931)","-0.510544819345547 (-3.31472603201946, 1.85247202008608)","-39.0225730872106 (-124.6975640261, -3.38354362436392)","-1.76667119576178 (-4.74316105600164, 0.789606303732095)","25.1684529514094 (-0.828810620716305, 94.6790631351251)","-2.78161628977453 (-6.80567096625356, 0.917800557216544)","25.6511609413575 (-1.04324843929297, 93.4972423146376)","I_IGF_1Ri","-1.84666717054601 (-4.92609041596118, 0.737935186891973)","-44.5035513498633 (-143.560339378424, -5.58833227719903)","-1.62859337711895 (-4.54648441088001, 0.81996487762403)","-0.827482731106187 (-4.80824852345457, 2.96572552318114)","-1.03967589361207 (-3.95283667531312, 1.45725509573429)","-0.0328093984401859 (-3.80901030500779, 3.48382753728305)","0.12897146726275 (-3.22870456690655, 3.22977749527718)","0.343888973801949 (-3.39703707778332, 3.9398989218812)","-1.91456980033444 (-4.83409666300128, 0.534685126345584)","-42.4462209599079 (-133.952415202841, -3.3775561986822)"
"I_METi","1.89615501238443 (-0.139603054941948, 4.18456835435021)","0.592160167757968 (-1.00281277733985, 2.29337496558016)","0.769616817387497 (-3.00627476033026, 5.09593003840688)","-0.215142212317891 (-1.52573001399779, 1.1434410384311)","1.32238622262937 (-0.168186526367482, 2.9105047565557)","-37.0887931071039 (-122.770943428695, -1.61963609526552)","0.073159615458025 (-1.68801724540462, 1.92123737993079)","27.0781284864416 (1.29576690908159, 96.6707712712592)","-0.916431839026089 (-4.14748958752445, 2.33591531692141)","27.5004848331991 (1.07767342953706, 95.4276617983024)","1.84666717054601 (-0.737935186891973, 4.92609041596118)","I_METi","-42.5828367758158 (-141.479285786111, -3.80301349785463)","0.21044051949726 (-1.42466794107495, 1.92376413405037)","1.04534154452294 (-2.16833936968907, 4.42566713467317)","0.798778836351291 (-0.885333751800918, 2.60375595561994)","1.8283541600808 (-1.10939454951534, 4.87407684238805)","1.97969633038163 (-0.42586757592852, 4.56678980828637)","2.19159324810588 (-0.710185429549109, 5.3585842552972)","-0.0737045687835632 (-1.73096698299572, 1.61893175338154)","-40.5100895459585 (-131.625158298514, -1.55558378710118)"
"I_MMPi","44.5494075859819 (5.71455794669673, 143.51987050864)","43.2000518108337 (4.41911545405369, 142.198232345617)","43.4540697524922 (4.27674364399425, 142.207783618332)","42.4015701076532 (3.63661040004252, 141.440039658768)","43.9484375362588 (5.16137109909596, 142.927981449924)","5.94735452934623 (-94.5140145409374, 108.193092432015)","42.7011423913762 (3.87498435035205, 141.729890119728)","75.1661434995098 (16.7048858584489, 188.515915773123)","41.6891404796867 (2.68449209056152, 140.698522141812)","77.433370179354 (17.3263486182697, 185.326617299433)","44.5035513498633 (5.58833227719903, 143.560339378424)","42.5828367758158 (3.80301349785463, 141.479285786111)","I_MMPi","42.8483297648228 (4.02952499902267, 141.875654755216)","43.6893304627934 (4.66924104474359, 142.613849298841)","43.4527382154426 (4.6165331094491, 142.41525824893)","44.4683318823635 (5.45499269932213, 143.410386218281)","44.6251936952603 (5.68113491348279, 143.63787633573)","44.8225499173684 (5.89230088337158, 143.68261245008)","42.555615431401 (3.73831976774012, 141.468419162151)","1.75498394969623 (-95.5611208034175, 107.319537803007)"
"II","1.68242229447834 (-0.182832974622539, 3.73924209885115)","0.385758928158532 (-0.839109858342885, 1.64807564291012)","0.554541271287191 (-3.11437095225147, 4.74562983875696)","-0.422173569423757 (-1.43900693379847, 0.571469963421113)","1.11512620431779 (-0.118753706183236, 2.38030611593482)","-37.2957669901777 (-122.928645306026, -1.86250003084508)","-0.136531881607297 (-1.70043443419374, 1.42773896031209)","26.8701931050127 (1.13598696525333, 96.2708066556565)","-1.13297325773287 (-4.28383144152754, 1.97029458318851)","27.3191845497989 (0.839320411071436, 95.1355490166248)","1.62859337711895 (-0.81996487762403, 4.54648441088001)","-0.21044051949726 (-1.92376413405037, 1.42466794107495)","-42.8483297648228 (-141.875654755216, -4.02952499902267)","II","0.829889074841673 (-1.93115464175073, 3.70843116831665)","0.586411207787684 (-0.818380607597328, 2.04112465872239)","1.6190501631193 (-1.19604420178728, 4.47968578160489)","1.76872877070973 (-0.449382057702592, 4.10725468427388)","1.98115362566793 (-0.763468520586973, 4.944478798774)","-0.285541427878531 (-1.51911160727973, 0.919111422591633)","-40.7733985668986 (-132.024287789919, -1.83230500319486)"
"II_Cetuximab","0.852028050108637 (-2.54359384646053, 4.32443005049165)","-0.442668524569482 (-3.56200053906169, 2.62211849233611)","-0.252933064929546 (-4.94525688035572, 4.78194494271232)","-1.25640632084103 (-4.30944439188367, 1.6840646071403)","0.277446799192044 (-2.84860914215918, 3.32657932358571)","-38.2044335188324 (-123.743900250673, -2.46949494154422)","-0.969127104546764 (-4.24741146130898, 2.23235690144853)","26.0839806083006 (-0.0874714425161783, 95.4408562268189)","-1.9638122610743 (-6.23191641231436, 2.19911820015261)","26.5048138066427 (-0.309912054877465, 94.5356356010136)","0.827482731106187 (-2.96572552318114, 4.80824852345457)","-1.04534154452294 (-4.42566713467317, 2.16833936968907)","-43.6893304627934 (-142.613849298841, -4.66924104474359)","-0.829889074841673 (-3.70843116831665, 1.93115464175073)","II_Cetuximab","-0.243245369469695 (-3.43877141575616, 2.87987304643921)","0.790708710180442 (-3.24024776143974, 4.76179160659166)","0.940594820412714 (-2.69902966600136, 4.56426321694708)","1.15386336896246 (-2.81623332225507, 5.17241722108523)","-1.12070767952504 (-4.24757404532779, 1.90158795151628)","-41.6376760228967 (-132.963299829384, -2.49241800816888)"
"III","1.0980072519649 (-0.836508675751166, 3.16821260758772)","-0.20238345261056 (-1.53558585232979, 1.12157182418979)","-0.03601071361249 (-3.78148342073093, 4.18981805572356)","-1.00784884843435 (-2.15838569309885, 0.0707447379760737)","0.525280563472356 (-0.821483036378458, 1.8449116495831)","-37.8787929541357 (-123.615908764076, -2.43878149254434)","-0.721059638429826 (-2.39197418091658, 0.91495167948013)","26.2918020196897 (0.521101890695791, 95.6663262014754)","-1.72438942929493 (-4.91705298190596, 1.42069981812391)","26.7047504638581 (0.258777269283711, 94.4679245546541)","1.03967589361207 (-1.45725509573429, 3.95283667531312)","-0.798778836351291 (-2.60375595561994, 0.885333751800918)","-43.4527382154426 (-142.41525824893, -4.6165331094491)","-0.586411207787684 (-2.04112465872239, 0.818380607597328)","0.243245369469695 (-2.87987304643921, 3.43877141575616)","III","1.03778860385031 (-1.40757414136385, 3.47844472044374)","1.17699921921325 (-0.541685624319394, 2.99799491645997)","1.39219305293517 (-0.960210129617705, 3.94478093931786)","-0.872649220382146 (-2.21392687837846, 0.394035724419985)","-41.3557780166865 (-132.425637424499, -2.39296501187787)"
"III_Amivantamab","0.0653456772731355 (-3.01352274224025, 3.31241605928372)","-1.23276197818148 (-4.0253385677757, 1.57308841013675)","-1.04318094227368 (-5.54900622496177, 3.73871545058091)","-2.04092243591021 (-4.76506755544101, 0.617360871560098)","-0.505037812373893 (-3.28674722073837, 2.28436527056706)","-38.9333958829646 (-124.517137979229, -3.31962166593578)","-1.7534635780239 (-4.714555951388, 1.19146163538587)","25.265523766978 (-0.730747954884807, 94.7886185183385)","-2.74915969849774 (-6.77346520803345, 1.18452592373651)","25.6792154854225 (-0.945110504609345, 93.5053461185295)","0.0328093984401859 (-3.48382753728305, 3.80901030500779)","-1.8283541600808 (-4.87407684238805, 1.10939454951534)","-44.4683318823635 (-143.410386218281, -5.45499269932213)","-1.6190501631193 (-4.47968578160489, 1.19604420178728)","-0.790708710180442 (-4.76179160659166, 3.24024776143974)","-1.03778860385031 (-3.47844472044374, 1.40757414136385)","III_Amivantamab","0.15548850947361 (-2.81406708540753, 3.19005921883127)","0.366312795823418 (-3.02229223721995, 3.90687479812011)","-1.90592712652535 (-4.70692702366498, 0.821870763944291)","-42.3592817588531 (-133.474018562395, -3.34408126128433)"
"III_antiangio","-0.0811652902866432 (-2.70067626008835, 2.595016206953)","-1.38092512134911 (-3.63934015998014, 0.781350718835597)","-1.20412182808045 (-5.39792098250026, 3.32734429279733)","-2.18982560055574 (-4.34850383293857, -0.169281244430343)","-0.654251634730839 (-2.9158314945702, 1.51276169034278)","-39.0712512383419 (-124.805206075003, -3.56562245583751)","-1.90329380288018 (-4.38031674151724, 0.45448964348531)","25.1121631605124 (-0.808328941686262, 94.5097948929146)","-2.91115124513262 (-6.59377689204428, 0.667122362967531)","25.5502193693148 (-1.02972026401508, 93.3204098314751)","-0.12897146726275 (-3.22977749527718, 3.22870456690655)","-1.97969633038163 (-4.56678980828637, 0.42586757592852)","-44.6251936952603 (-143.63787633573, -5.68113491348279)","-1.76872877070973 (-4.10725468427388, 0.449382057702592)","-0.940594820412714 (-4.56426321694708, 2.69902966600136)","-1.17699921921325 (-2.99799491645997, 0.541685624319394)","-0.15548850947361 (-3.19005921883127, 2.81406708540753)","III_antiangio","0.21658040069032 (-2.76944232800801, 3.30660119951613)","-2.05458590478094 (-4.31639631749113, 0.0707584385744126)","-42.5123714754339 (-133.945127633204, -3.4566345197425)"
"III_chemo","-0.297785997644991 (-3.50046853064813, 2.8533239849064)","-1.59488317116971 (-4.50387070639483, 1.1109026802327)","-1.42603315462984 (-5.97781260055363, 3.39681625969753)","-2.40430805275967 (-5.2347224624251, 0.19102831403576)","-0.87090659439886 (-3.76285484905787, 1.85863636737792)","-39.3252979411642 (-125.131139653159, -3.74874308235171)","-2.12171164467435 (-5.16545652862558, 0.743246872044211)","24.8986018193571 (-1.19012744891517, 94.5700543701105)","-3.13959492168809 (-7.23425749814002, 0.854739601793645)","25.3340920413063 (-1.37705440823614, 93.1257559330937)","-0.343888973801949 (-3.9398989218812, 3.39703707778332)","-2.19159324810588 (-5.3585842552972, 0.710185429549109)","-44.8225499173684 (-143.68261245008, -5.89230088337158)","-1.98115362566793 (-4.944478798774, 0.763468520586973)","-1.15386336896246 (-5.17241722108523, 2.81623332225507)","-1.39219305293517 (-3.94478093931786, 0.960210129617705)","-0.366312795823418 (-3.90687479812011, 3.02229223721995)","-0.21658040069032 (-3.30660119951613, 2.76944232800801)","III_chemo","-2.27369867452555 (-5.18289899913436, 0.380649702008357)","-42.7734618363856 (-133.940307841501, -3.6827940231359)"
"Placebo","1.96915569996036 (0.120228322224659, 4.04924668431357)","0.668930686361558 (-0.62837520854186, 2.03777235512707)","0.833253713292429 (-2.84266382290118, 5.06492118536599)","-0.137925094106578 (-1.13999405530196, 0.888314611163138)","1.39924118534819 (0.173739110664, 2.68627196075068)","-37.0329171547432 (-122.752871309143, -1.56951663715926)","0.152412718196185 (-1.41553058810852, 1.75661767006074)","27.1366405287041 (1.41730721501631, 96.5306724463412)","-0.850034647911013 (-3.97818790989191, 2.26605778410975)","27.6121307853054 (1.1450408715628, 95.4287672012316)","1.91456980033444 (-0.534685126345584, 4.83409666300128)","0.0737045687835632 (-1.61893175338154, 1.73096698299572)","-42.555615431401 (-141.468419162151, -3.73831976774012)","0.285541427878531 (-0.919111422591633, 1.51911160727973)","1.12070767952504 (-1.90158795151628, 4.24757404532779)","0.872649220382146 (-0.394035724419985, 2.21392687837846)","1.90592712652535 (-0.821870763944291, 4.70692702366498)","2.05458590478094 (-0.0707584385744126, 4.31639631749113)","2.27369867452555 (-0.380649702008357, 5.18289899913436)","Placebo","-40.4331290805893 (-131.598158258773, -1.48719590766864)"
"Rociletinib","42.4445556101817 (3.4487885057233, 133.729745027794)","41.1437310021046 (2.15179730757292, 132.31812293122)","41.4589775098191 (2.09586703274674, 132.424478558292)","40.3306790643455 (1.3742890292881, 131.447949684695)","41.8676166542049 (2.89208537744795, 133.030303122797)","1.64253178262249 (-93.8710576806859, 109.229973717787)","40.5972876955456 (1.61353553884644, 131.747800639915)","73.0893120055554 (13.1645921316029, 180.481959767652)","39.6186730511659 (0.457659484376569, 130.841816106319)","73.9384391982107 (13.9085251839035, 183.450862777577)","42.4462209599079 (3.3775561986822, 133.952415202841)","40.5100895459585 (1.55558378710118, 131.625158298514)","-1.75498394969623 (-107.319537803007, 95.5611208034175)","40.7733985668986 (1.83230500319486, 132.024287789919)","41.6376760228967 (2.49241800816888, 132.963299829384)","41.3557780166865 (2.39296501187787, 132.425637424499)","42.3592817588531 (3.34408126128433, 133.474018562395)","42.5123714754339 (3.4566345197425, 133.945127633204)","42.7734618363856 (3.6827940231359, 133.940307841501)","40.4331290805893 (1.48719590766864, 131.598158258773)","Rociletinib"
