"Comparison","Number of studies","Within-study bias","Reporting bias","Indirectness","Imprecision","Heterogeneity","Incoherence","Confidence rating","Reason(s) for downgrading"
"Afatinib:Osimertinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Afatinib:Osimertinib + Bevacizumab",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Afatinib:Vandetanib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Cabozantinib:Dacomitinib",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"Cabozantinib:Erlotinib + Bevacizumab",0,"Some concerns","Low risk","No concerns","No concerns","Major concerns","No concerns","High","[]"
"Cabozantinib:Erlotinib + Ramucirumab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Cabozantinib:Erlotinib + Sunitinib",0,"Some concerns","Low risk","No concerns","No concerns","Major concerns","No concerns","High","[]"
"Cabozantinib:Gefitinib",0,"Some concerns","Low risk","No concerns","No concerns","Some concerns","No concerns","High","[]"
"Cabozantinib:Osimertinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Cabozantinib:Osimertinib + Bevacizumab",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Cabozantinib:Placebo",0,"Some concerns","Low risk","No concerns","No concerns","Some concerns","No concerns","High","[]"
"Cabozantinib:Vandetanib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Dacomitinib:Erlotinib",0,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","No concerns","High","[]"
"Dacomitinib:Erlotinib + Bevacizumab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Dacomitinib:Erlotinib + Cabozantinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Dacomitinib:Erlotinib + Ramucirumab",0,"No concerns","Low risk","No concerns","No concerns","Some concerns","No concerns","High","[]"
"Dacomitinib:Erlotinib + Sunitinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Dacomitinib:Gefitinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Dacomitinib:Osimertinib",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"Dacomitinib:Osimertinib + Bevacizumab",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"Dacomitinib:Vandetanib",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"Erlotinib:Gefitinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Erlotinib:Osimertinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Erlotinib:Osimertinib + Bevacizumab",0,"No concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"Erlotinib + Bevacizumab:Erlotinib + Cabozantinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Erlotinib + Bevacizumab:Erlotinib + Ramucirumab",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Erlotinib + Bevacizumab:Erlotinib + Sunitinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Erlotinib + Bevacizumab:Gefitinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Erlotinib + Bevacizumab:Osimertinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Erlotinib + Bevacizumab:Osimertinib + Bevacizumab",0,"No concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"Erlotinib + Bevacizumab:Placebo",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Erlotinib + Bevacizumab:Vandetanib",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"Erlotinib + Cabozantinib:Erlotinib + Ramucirumab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Erlotinib + Cabozantinib:Erlotinib + Sunitinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Erlotinib + Cabozantinib:Gefitinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Erlotinib + Cabozantinib:Osimertinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Erlotinib + Cabozantinib:Osimertinib + Bevacizumab",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Erlotinib + Cabozantinib:Placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Erlotinib + Cabozantinib:Vandetanib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Erlotinib + Ramucirumab:Erlotinib + Sunitinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Erlotinib + Ramucirumab:Gefitinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Erlotinib + Ramucirumab:Osimertinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Erlotinib + Ramucirumab:Osimertinib + Bevacizumab",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Erlotinib + Ramucirumab:Placebo",0,"No concerns","Low risk","No concerns","Some concerns","Some concerns","No concerns","High","[]"
"Erlotinib + Ramucirumab:Vandetanib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Erlotinib + Sunitinib:Gefitinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Erlotinib + Sunitinib:Osimertinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Erlotinib + Sunitinib:Osimertinib + Bevacizumab",0,"No concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"Erlotinib + Sunitinib:Placebo",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Erlotinib + Sunitinib:Vandetanib",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"Gefitinib:Osimertinib",0,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","No concerns","High","[]"
"Gefitinib:Osimertinib + Bevacizumab",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"Osimertinib:Vandetanib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Osimertinib + Bevacizumab:Placebo",0,"No concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"Osimertinib + Bevacizumab:Vandetanib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Placebo:Vandetanib",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
