Erlotinib_METi,"-1.31209441513654 (-5.44416138784236, 2.24768272429055)","-15.4280422171846 (-52.9680899787526, 2.32655626778865)","-0.597993146319473 (-6.07177385028936, 5.7800865161756)","-0.523679087033878 (-5.01069304115365, 4.30167381462209)","-0.429623691307447 (-5.8201104637056, 5.00195659227218)","-0.444891397875653 (-3.07248231604956, 2.1436347642209)","-1.40019555893121 (-6.63706817858329, 3.4233708254697)","14.4016614724574 (-0.800859011922039, 47.5036835687753)","-0.451840822473927 (-5.84644892265817, 4.93138028213517)",Erlotinib_METi,"14.2423887273842 (-1.32563741459702, 50.5185578954031)","-0.0307650879848388 (-3.19895157749054, 3.32779446136855)","-0.30436430496339 (-6.57336295920501, 6.63310827675177)","14.5827778451977 (-2.47494622556984, 49.0364432150727)","-2.31882477056549 (-8.3993721375573, 4.04690824585174)","15.7826249253881 (-2.55964115959364, 49.679431393295)","15.5742612425799 (-0.955557613091633, 53.0462946381132)","-0.0488265743113013 (-5.38460474588087, 6.31032978163947)","0.0672267694784981 (-4.35007716436205, 5.12669431384398)","16.2039685141237 (0.581925202131513, 52.2067043552949)","15.6126812440857 (-0.22797377825269, 51.514041682004)","-1.86712800695213 (-6.25351034516976, 1.74393427239158)","14.4692825599738 (0.482560672159414, 46.9319579530316)"
Erlotinib_MMPi,"-15.5895611141993 (-51.9090418326654, 0.0236186480431823)","-32.7044531081689 (-82.8563563901702, -3.57750459645764)","-14.7944859842425 (-51.1381007420552, 1.88352110743336)","-14.7763600157586 (-51.1657965636179, 1.28322185619468)","-14.6671676652008 (-51.1502557518953, 1.56772162068875)","-14.6445647648076 (-50.8178360144847, 0.571855175817963)","-15.6715345466562 (-52.1493923852834, 0.388805875308122)","0.0368193068783789 (-40.3075314040614, 37.0240692449678)","-14.7315302514325 (-51.0487118082008, 1.55628328734137)","-14.2423887273842 (-50.5185578954031, 1.32563741459702)",Erlotinib_MMPi,"-14.2410788956284 (-50.4533985874364, 1.17767921400079)","-14.5736905053834 (-51.2575213431467, 2.42236031223108)","0.115069844134922 (-38.587562434453, 37.0029860815358)","-16.6119971783948 (-53.0495800003475, 0.229476399449047)","0.931738145749429 (-38.3483672511304, 37.6188599467064)","1.29058945597369 (-37.6230057091069, 41.6854187192084)","-14.2187421279197 (-50.7182861637025, 2.44465598851509)","-14.1049079845475 (-50.5033060091101, 1.94794989942274)","1.88014162126987 (-37.6355629527739, 40.4931378553817)","1.42728943055419 (-38.7106599537104, 40.8373592927501)","-16.1964556418405 (-52.4940736445028, -0.482591550104892)","0.708647796015414 (-37.9416306317078, 35.1603775274291)"
Erlotinib_antiangio,"-1.26596280098802 (-5.10666553072405, 1.85445248944377)","-15.3715096171997 (-52.8507924517142, 2.14301126156783)","-0.557236630131208 (-5.88958508189361, 5.45279498398868)","-0.51174584238706 (-4.73775332728014, 3.955119391138)","-0.397584766726166 (-5.57091675951922, 4.70755496285666)","-0.414180634080778 (-2.48497371867657, 1.44048765460569)","-1.37032562621687 (-6.37732669616352, 3.09440171051441)","14.3984092891693 (-0.662511764901176, 47.557995440194)","-0.43964374254937 (-5.61800342945559, 4.61197953043097)","0.0307650879848388 (-3.32779446136855, 3.19895157749054)","14.2410788956284 (-1.17767921400079, 50.4533985874364)",Erlotinib_antiangio,"-0.26818654788644 (-6.34907639417078, 6.38588092378915)","14.6044827925457 (-2.42054200016478, 49.0703985026034)","-2.2894272070416 (-8.28560903024586, 3.79240274746348)","15.7590103917755 (-2.46736428355875, 49.6609528560006)","15.5238537917792 (-0.847432976260572, 52.8206940632566)","-0.0150016379823938 (-5.16281649323662, 5.96789747965589)","0.110785171869814 (-4.10292645116728, 4.74533418411265)","16.2012563641262 (0.684595314867284, 52.1702690588232)","15.6360417404323 (-0.148766595072101, 51.5242293812763)","-1.83457474209756 (-5.95160014017158, 1.35185862742514)","14.4420204545081 (0.685430940628709, 46.9355865499097)"
Gefitinib,"-1.03292042558277 (-7.7205311213705, 4.58552586309141)","-14.9881922335465 (-52.0918647284153, 0.528881927548579)","-0.298368890655947 (-6.18852571079641, 5.95693336937487)","-0.161539982096405 (-5.93227295518329, 4.71820447183535)","-0.148637184634061 (-8.08522367203881, 7.30563460054128)","-0.144634506693708 (-6.56627756793261, 5.58794362034502)","-1.13049401983706 (-8.96676498675522, 5.85798896923242)","14.7565956430445 (-1.95338519480093, 48.0766682825005)","-0.161281427319932 (-8.16567002269621, 7.14915080176778)","0.30436430496339 (-6.63310827675177, 6.57336295920501)","14.5736905053834 (-2.42236031223108, 51.2575213431467)","0.26818654788644 (-6.38588092378915, 6.34907639417078)",Gefitinib,"14.6348450224335 (-0.584360978925513, 48.9119707335048)","-2.01023260151422 (-8.94266458802376, 4.65917120017951)","15.8603230903205 (-0.532621222877202, 49.3427638010831)","15.6080995356005 (1.14779110616331, 52.8538315439538)","0.202332203064454 (-4.71760507938239, 5.88630840447387)","0.371984553711939 (-5.059875296117, 5.85300807316117)","16.4835461813291 (0.512305190113153, 52.3377712341595)","15.8455647125499 (-0.316786536448529, 51.6886656644053)","-1.61812616754173 (-8.12381279503881, 3.8344458629982)","14.9037900667997 (-0.857288402204849, 47.6206211561108)"
Gefitinib_chemotherapy,"-15.9491237685248 (-50.3048194545524, 0.948346805554586)","-32.5928864935876 (-80.6241137814687, -5.04280048585376)","-15.0137456155969 (-49.6671271860421, 1.89448629658513)","-15.0447125957645 (-49.3123149006526, 1.4484870004165)","-15.0550148097529 (-49.6829135847196, 2.67674820497592)","-15.0118404840922 (-49.4234118917621, 1.85824342852388)","-16.1819683167351 (-50.4839985723904, 1.52251183745452)","-0.254387224631959 (-38.2769821288557, 36.7694274707021)","-15.1114555083185 (-49.6063027606826, 2.60270144153461)","-14.5827778451977 (-49.0364432150727, 2.47494622556984)","-0.115069844134922 (-37.0029860815358, 38.587562434453)","-14.6044827925457 (-49.0703985026034, 2.42054200016478)","-14.6348450224335 (-48.9119707335048, 0.584360978925513)",Gefitinib_chemotherapy,"-16.9324301418943 (-51.4957584783358, 0.481234114369491)","0.798567637582357 (-37.3927128271785, 37.9078456955072)","1.11806485969827 (-35.3343445713819, 40.6841360986459)","-14.4317490943395 (-49.0637947601413, 2.17900147588361)","-14.3581719825331 (-48.9391875124296, 2.204925315091)","1.63265060749875 (-35.1246298814976, 39.2081049600167)","1.18436706750507 (-37.7952741073311, 41.8316803434707)","-16.5306656375348 (-50.8809585928066, 0.334979366404792)","-0.116133467859035 (-37.1953471506165, 37.8240596519433)"
Gefitinib_Erlotinib,"0.97145608740718 (-5.11143203244371, 6.41464192529859)","-13.0985862147189 (-50.5991880153747, 4.58365580596207)","1.70998726981426 (-3.36917285090971, 7.4178921943011)","1.82274501699816 (-3.87295167503113, 7.28888757365229)","1.88944715419123 (-5.65502754879906, 9.17138890620401)","1.86197656688031 (-3.95414291573962, 7.45388510369969)","0.891070763789016 (-6.47585779925675, 7.76693731604156)","16.8011396311944 (0.316488725438668, 49.9907006869481)","1.85581411016441 (-5.68805003599859, 9.11936437776666)","2.31882477056549 (-4.04690824585174, 8.3993721375573)","16.6119971783948 (-0.229476399449047, 53.0495800003475)","2.2894272070416 (-3.79240274746348, 8.28560903024586)","2.01023260151422 (-4.65917120017951, 8.94266458802376)","16.9324301418943 (-0.481234114369491, 51.4957584783358)",Gefitinib_Erlotinib,"18.084324877776 (-0.384705644146306, 51.920924511017)","17.8399040424781 (1.17149292927293, 55.2790516117414)","2.25572775990713 (-2.76801972472845, 8.02298637340672)","2.33764442986686 (-1.38071041927165, 6.7076577740554)","18.5179580912301 (3.04705958035047, 54.2987425372563)","17.9093772062478 (2.31822153954135, 53.5266791393446)","0.411195729705025 (-5.17878247402709, 5.30386847180545)","16.8872629245322 (1.46339320195168, 49.4677163058282)"
Gefitinib_PARPi,"-17.1733252804505 (-51.0388666955992, 0.897692828948676)","-33.9410801499336 (-78.597693461369, -5.42700044572012)","-16.2211340889518 (-50.0580256765994, 1.92348105917115)","-16.167504994999 (-49.9843045621315, 1.39776789299094)","-16.2036314426002 (-50.3110900584008, 2.61705374656762)","-16.2144444692737 (-50.1073766962578, 1.87399815724221)","-17.2054717570127 (-51.3420411810557, 1.48111683611682)","-0.907838105387276 (-38.9130362047596, 37.4685431108113)","-16.2298339957249 (-50.3503578378777, 2.5964112561868)","-15.7826249253881 (-49.679431393295, 2.55964115959364)","-0.931738145749429 (-37.6188599467064, 38.3483672511304)","-15.7590103917755 (-49.6609528560006, 2.46736428355875)","-15.8603230903205 (-49.3427638010831, 0.532621222877202)","-0.798567637582357 (-37.9078456955072, 37.3927128271785)","-18.084324877776 (-51.920924511017, 0.384705644146306)",Gefitinib_PARPi,"0.665620094441629 (-37.0985394456696, 39.9915129187694)","-15.6185842044197 (-49.3395384354091, 2.10882954301931)","-15.5780995349889 (-49.3699108860534, 2.18684515737039)","1.16327901062417 (-38.1530014995396, 40.5025722577685)","0.29586981002283 (-38.1765361629155, 40.7001499722667)","-17.6725912434061 (-51.6812098858894, 0.187471652710199)","-0.822526936308288 (-36.3204237054638, 35.0455894062904)"
Icotinib,"-16.9350520732399 (-54.2879646452653, -0.626014939597474)","-33.716529836572 (-83.4026133163193, -6.509418204984)","-15.999683818126 (-53.2069572690651, 0.367982046696995)","-16.0151919407251 (-53.2318933210281, -0.179069858052233)","-16.0952978425119 (-53.7210395546839, 1.21181177141875)","-15.9882261130147 (-53.337700900211, 0.248844211664202)","-17.1168468749497 (-54.3861443150889, -0.0889381803419128)","-1.21892267413032 (-40.9831434093332, 34.6779935782346)","-16.108885903747 (-53.8496659550623, 1.07355766230264)","-15.5742612425799 (-53.0462946381132, 0.955557613091633)","-1.29058945597369 (-41.6854187192084, 37.6230057091069)","-15.5238537917792 (-52.8206940632566, 0.847432976260572)","-15.6080995356005 (-52.8538315439538, -1.14779110616331)","-1.11806485969827 (-40.6841360986459, 35.3343445713819)","-17.8399040424781 (-55.2790516117414, -1.17149292927293)","-0.665620094441629 (-39.9915129187694, 37.0985394456696)",Icotinib,"-15.3961269042109 (-52.6837650321407, 0.541888649602816)","-15.3480809787839 (-52.5823379825827, 0.604369733354334)","0.918821674619825 (-41.3756699296254, 40.8583213507695)","0.391423226235304 (-41.4960547387004, 38.8598252841919)","-17.5268351597472 (-54.755286318263, -1.31737112395491)","-1.01628908733223 (-39.6384530743248, 34.8022056714401)"
Lazertinib,"-1.29283128879117 (-7.29506205330162, 3.35190395935707)","-15.3877736792405 (-52.8392095973921, 1.39464517729835)","-0.546579372513439 (-4.55387311598121, 3.35835295866909)","-0.450986094643317 (-5.87296662073952, 3.97800957382627)","-0.408303816000552 (-7.84427616280064, 6.31821213222539)","-0.410774051762583 (-6.13935744064235, 4.355930339105)","-1.39623660059032 (-8.70281356377558, 4.8033790097232)","14.3930602131413 (-1.91736733936474, 47.8130403229106)","-0.428399618948343 (-7.9782537194107, 6.20282445937898)","0.0488265743113013 (-6.31032978163947, 5.38460474588087)","14.2187421279197 (-2.44465598851509, 50.7182861637025)","0.0150016379823938 (-5.96789747965589, 5.16281649323662)","-0.202332203064454 (-5.88630840447387, 4.71760507938239)","14.4317490943395 (-2.17900147588361, 49.0637947601413)","-2.25572775990713 (-8.02298637340672, 2.76801972472845)","15.6185842044197 (-2.10882954301931, 49.3395384354091)","15.3961269042109 (-0.541888649602816, 52.6837650321407)",Lazertinib,"0.108642364277219 (-3.65325656639656, 3.60463809914644)","16.1003920763448 (0.872529305185618, 52.0187112732468)","15.5401152594656 (-0.00686194841577734, 51.2955216603591)","-1.86163732537697 (-7.41819068969724, 2.32405085950873)","14.4876536808703 (-0.709607776068596, 46.9960548886414)"
Osimertinib,"-1.40256297733855 (-5.95781727051601, 2.07911740503258)","-15.4970091238876 (-52.83255041779, 1.43977376767696)","-0.671867133584414 (-4.17593937706935, 3.0946844211803)","-0.552436242258042 (-4.73270993555733, 2.89889916281143)","-0.533091625575014 (-6.87965074188577, 5.45707423082268)","-0.540780382278299 (-4.81892268541497, 3.15874381343092)","-1.50240388163529 (-7.73440583558897, 3.91050619270308)","14.2759164516803 (-1.43095563906271, 47.5806367038718)","-0.555226140129957 (-6.9715510708804, 5.35952258745767)","-0.0672267694784981 (-5.12669431384398, 4.35007716436205)","14.1049079845475 (-1.94794989942274, 50.5033060091101)","-0.110785171869814 (-4.74533418411265, 4.10292645116728)","-0.371984553711939 (-5.85300807316117, 5.059875296117)","14.3581719825331 (-2.204925315091, 48.9391875124296)","-2.33764442986686 (-6.7076577740554, 1.38071041927165)","15.5780995349889 (-2.18684515737039, 49.3699108860534)","15.3480809787839 (-0.604369733354334, 52.5823379825827)","-0.108642364277219 (-3.60463809914644, 3.65325656639656)",Osimertinib,"15.9837660957037 (1.43359042062884, 51.7862295250649)","15.375245042133 (0.587338419342501, 50.9657105547724)","-1.97611570958776 (-5.80343762691887, 0.691074872112137)","14.3657784222233 (-0.19419602061375, 46.7413507776781)"
Osimertinib_chemotherapy,"-17.5871029257384 (-53.4723004460411, -2.27435534093355)","-34.7793594220722 (-81.037809649979, -6.75265142506064)","-16.6361350740315 (-52.4919486007866, -1.46396491045293)","-16.6973906537855 (-52.4669126193582, -1.40190232646036)","-16.6985367469234 (-52.7785201031567, -0.349507020209681)","-16.6317807090547 (-52.5689665905443, -1.33697504317628)","-17.7320415812445 (-53.6216810123602, -1.52202690918101)","-1.8641671023847 (-41.9743967720684, 35.0126609218009)","-16.7743904441783 (-52.7329124117391, -0.341464328142986)","-16.2039685141237 (-52.2067043552949, -0.581925202131513)","-1.88014162126987 (-40.4931378553817, 37.6355629527739)","-16.2012563641262 (-52.1702690588232, -0.684595314867284)","-16.4835461813291 (-52.3377712341595, -0.512305190113153)","-1.63265060749875 (-39.2081049600167, 35.1246298814976)","-18.5179580912301 (-54.2987425372563, -3.04705958035047)","-1.16327901062417 (-40.5025722577685, 38.1530014995396)","-0.918821674619825 (-40.8583213507695, 41.3756699296254)","-16.1003920763448 (-52.0187112732468, -0.872529305185618)","-15.9837660957037 (-51.7862295250649, -1.43359042062884)",Osimertinib_chemotherapy,"-0.487780225937142 (-39.8339585501892, 37.1764498844283)","-18.2148828901139 (-53.9688664418297, -3.09268696010348)","-1.38277569154608 (-41.3800404709777, 33.7233286128671)"
Osimertinib_antiangio,"-16.995475111858 (-52.7486885417552, -1.41249048017167)","-34.0139356793741 (-83.0142176176171, -5.77559122166112)","-16.0995752151454 (-51.7796397663818, -0.537761554002962)","-16.0797327597037 (-51.9447304171374, -0.520019709134227)","-16.1340926133195 (-52.1604772881455, 0.464856432389507)","-16.0784517310423 (-51.8367215437246, -0.483090653271996)","-17.171626093292 (-53.147544446902, -0.791026587782543)","-1.38742411060694 (-40.3956523218568, 35.9918149793444)","-16.1785824974676 (-52.0334979081425, 0.402446477508265)","-15.6126812440857 (-51.514041682004, 0.22797377825269)","-1.42728943055419 (-40.8373592927501, 38.7106599537104)","-15.6360417404323 (-51.5242293812763, 0.148766595072101)","-15.8455647125499 (-51.6886656644053, 0.316786536448529)","-1.18436706750507 (-41.8316803434707, 37.7952741073311)","-17.9093772062478 (-53.5266791393446, -2.31822153954135)","-0.29586981002283 (-40.7001499722667, 38.1765361629155)","-0.391423226235304 (-38.8598252841919, 41.4960547387004)","-15.5401152594656 (-51.2955216603591, 0.00686194841577734)","-15.375245042133 (-50.9657105547724, -0.587338419342501)","0.487780225937142 (-37.1764498844283, 39.8339585501892)",Osimertinib_antiangio,"-17.5623241163846 (-53.1982136164581, -2.20626860321706)","-0.749137758893168 (-39.5142976992591, 33.7967807813462)"
