Erlotinib_chemotherapy,"0.318302427398734 (-1.03509438064041, 1.62232299073601)","1.42725848564711 (-0.832692366956721, 3.87922389474323)","39.0356792245113 (4.1057338687523, 101.120665509839)","1.66740760189184 (-0.00540186875700208, 3.29505956378573)","0.426541208638577 (-0.896221211611121, 1.7156984417479)","-0.0590041439569691 (-1.47303623246165, 1.28344888516635)","0.188177291705763 (-3.58788660833093, 4.28213225427533)","0.139589770192872 (-1.01013636105032, 1.2655953735045)","-34.5138269507061 (-142.089143944946, -0.963338086538736)",Erlotinib_chemotherapy,"-36.8049959687669 (-112.381298318736, -2.16668150153197)","18.6866713600997 (1.17624757105161, 71.0740208605765)","-0.23112796331801 (-2.33476908395157, 1.86007793606001)","24.4253434844639 (1.31668280554323, 85.2777102437372)","2.18901293519745 (0.367109533438504, 4.48602923131933)","0.0670805865557584 (-1.24644467092235, 1.29712118226735)","-0.649661563726865 (-3.17698255636632, 1.52779030816709)","0.451581938634901 (-0.790775185378465, 1.66909055215289)","-0.195155305821978 (-1.62790865208969, 1.18152882766983)","1.05757210161995 (-0.892839075779218, 3.15353237121407)","-0.733126763222669 (-2.71839287703395, 1.1609902989876)","0.668701551662401 (-0.933338923152587, 2.24920588021719)","0.305975824868033 (-1.18551946290675, 1.76796140881862)","1.33264945323799 (-0.59217868538114, 3.28947278698101)","-0.498540412165899 (-3.1573805912663, 1.82374551046682)","-0.155217220226447 (-1.47620819475348, 1.11299749584933)","0.203625537755407 (-3.75111239587583, 3.93883195485343)","0.783860900942016 (-0.591534450996711, 2.21296728992621)"
Erlotinib_COX2i,"37.2196313566724 (2.49165578536059, 112.670992369212)","38.2110533036502 (3.60167768816167, 113.972466248428)","77.8683452786977 (17.065148454852, 186.127970764631)","38.5187611163022 (3.82178090019008, 113.780152010295)","37.3097046003731 (2.586971346381, 112.76489053024)","36.766850127973 (2.12139236845763, 112.266933748542)","37.045620161742 (2.07165846391634, 112.328860476305)","37.0167973244623 (2.31510333439674, 112.41743187962)","2.61534589307737 (-111.383735498788, 73.930200568045)","36.8049959687669 (2.16668150153197, 112.381298318736)",Erlotinib_COX2i,"62.4690200332575 (12.0487648570239, 133.374969458076)","36.684403225772 (1.8144135317209, 112.120794919254)","62.6342407056541 (19.5738235271044, 161.320712888386)","39.1236183849652 (4.33162686701778, 114.626238089546)","36.9021917188032 (2.21672944193817, 112.225088133069)","36.1895868060562 (1.4745390358198, 111.572259110998)","37.3664443308988 (2.61294776309545, 112.702328704796)","36.65346056236 (1.99159920867421, 112.124491292743)","37.8643625637792 (3.24160433831441, 113.397165084842)","36.1344462674718 (1.3877590792296, 111.49348391514)","37.5258591533792 (2.819108541685, 112.927821553856)","37.1548754856643 (2.46456639749207, 112.476367218035)","38.1898799026879 (3.49377759179032, 113.448996544906)","36.2314666583524 (1.58516037016803, 111.731739644719)","36.7411382994057 (2.00529332309316, 112.145412322035)","36.9692241496195 (2.02149444859481, 112.217574598758)","37.6601840549575 (2.98692938395344, 113.105291396901)"
Erlotinib_ERi,"-18.4353008642907 (-70.6900744058553, -0.893810391728135)","-17.2602600705877 (-69.8074946977466, 0.307993128671188)","18.1706552440852 (-53.4509503931418, 83.7265756653594)","-17.023692502209 (-69.3440736662275, 0.486935832280648)","-18.2650995207873 (-70.5521435186194, -0.771644863219811)","-18.8150690625663 (-71.0883216915474, -1.22719673932689)","-18.6208820659937 (-71.4567124014047, -0.510430663417919)","-18.5443193487526 (-70.9169344319557, -1.07299312220299)","-60.8972799649682 (-155.926473367658, -10.6632108277699)","-18.6866713600997 (-71.0740208605765, -1.17624757105161)","-62.4690200332575 (-133.374969458076, -12.0487648570239)",Erlotinib_ERi,"-18.8999098805598 (-71.1666146390108, -1.3297889587343)","2.45359186214609 (-48.2978602047412, 66.3442463147707)","-16.3926648361503 (-68.3625869341542, 1.11936738437478)","-18.6509821935913 (-71.0202132381895, -1.13313329703784)","-19.3692893106968 (-71.5911698152539, -1.74839222327292)","-18.2223901108879 (-70.5569761200036, -0.705053215266179)","-18.9436671415787 (-71.3199485939095, -1.38263647433092)","-17.6906564372537 (-69.928808172008, -0.0284553542279186)","-19.3964860499611 (-71.882301090408, -1.87356546423219)","-18.0115569346829 (-70.420627733371, -0.58441154120602)","-18.378590333302 (-70.6986226813238, -0.899291070313252)","-17.3394316967172 (-69.7471328182987, 0.194673010452699)","-19.2739341588709 (-71.5813674189241, -1.65347186562743)","-18.8819226744216 (-71.1693495060731, -1.37368115783473)","-18.5466149712568 (-70.8453406362294, -0.502846953416165)","-17.9093995805115 (-70.1949514034252, -0.391543962429382)"
Erlotinib_HER3i,"0.559383999024739 (-1.37186892354013, 2.40653363430919)","1.65271516988751 (-1.01092168309467, 4.46080029854104)","39.2192215697262 (4.50858303727732, 101.403051342031)","1.89405944366077 (-0.254096272750839, 4.0093775217978)","0.665290497232958 (-1.23403859638375, 2.49701740618721)","0.178216191672411 (-1.77441163530702, 2.07304405799865)","0.420156093804257 (-3.6285000048709, 4.68195961308518)","0.381257679076049 (-1.40329438380563, 2.09514070244604)","-34.1905008110707 (-141.830447415032, -0.802423936649489)","0.23112796331801 (-1.86007793606001, 2.33476908395157)","-36.684403225772 (-112.120794919254, -1.8144135317209)","18.8999098805598 (1.3297889587343, 71.1666146390108)",Erlotinib_HER3i,"24.5910111087145 (1.47325046792292, 85.5472669821423)","2.45126256996888 (0.140504909018041, 5.06916611861237)","0.306499370248037 (-1.58828578348117, 2.11009767682265)","-0.408711442557367 (-3.26008050071976, 2.13328467262221)","0.692942418459031 (-1.14653416139164, 2.48014557127602)","0.0405224778345809 (-1.94888041889935, 1.93624946250837)","1.2976825467522 (-1.08888006603165, 3.76297930590045)","-0.499355198404947 (-2.91550025309893, 1.80010187217483)","0.900069246848716 (-1.19008267546624, 2.97428295892836)","0.544063130629395 (-1.49384696124336, 2.50557677109783)","1.57347472100299 (-0.793716942437009, 3.9442515083311)","-0.275563937392859 (-3.25622149342574, 2.42122326277842)","0.0791029604545042 (-1.8101895266916, 1.8790929270826)","0.418042419956117 (-3.81725999669848, 4.48304337026658)","1.0282604461485 (-0.901784841951611, 2.99368792982752)"
Erlotinib_HGFi,"-24.024556857773 (-85.00365320788, -1.03224381427592)","-22.8420441830363 (-83.8449917243631, 0.286243457853201)","15.3684470070293 (-73.6866661729559, 83.5024469996468)","-22.7563182902398 (-83.6973674452991, 0.340183356703777)","-23.9896576040094 (-84.9583665469131, -0.938994881140104)","-24.4890498252568 (-85.3790931265552, -1.4222192319369)","-24.3179831773452 (-85.1162127603514, -0.584028435079427)","-24.2682237545484 (-85.2335868627997, -1.2254627442755)","-61.2522604302939 (-187.52681711753, -9.90796565972076)","-24.4253434844639 (-85.2777102437372, -1.31668280554323)","-62.6342407056541 (-161.320712888386, -19.5738235271044)","-2.45359186214609 (-66.3442463147707, 48.2978602047412)","-24.5910111087145 (-85.5472669821423, -1.47325046792292)",Erlotinib_HGFi,"-22.0897146236213 (-83.3517787563641, 1.06932789332867)","-24.3496055305566 (-85.3538508349047, -1.32869444858838)","-25.1246158422479 (-85.9629570289333, -1.90030614781229)","-23.9201524622461 (-84.8977343303162, -0.940015107594169)","-24.5771001832945 (-85.5190071992567, -1.54789101780034)","-23.354393752672 (-84.3514085131913, -0.0637374080835088)","-25.1676918303473 (-86.0442172715461, -2.03856918105703)","-23.7564847662989 (-84.7337667252891, -0.664728047520516)","-24.1073790726157 (-85.0192845837849, -1.00776638731612)","-23.079220985103 (-84.0091982878517, 0.0480018467785861)","-24.9380973405946 (-85.7251437781406, -1.77707842391331)","-24.6029036316657 (-85.4531765669135, -1.53063567057821)","-24.3285842543571 (-85.7973715691452, -0.559449941417945)","-23.5753936003411 (-84.5112719910692, -0.545821589307851)"
Erlotinib_IGF_1Ri,"-1.86346753285138 (-4.04182739595418, -0.281859999614714)","-0.808553189974005 (-3.48144116446226, 1.84622034230563)","36.8147330420363 (1.90742350160978, 98.8162948932321)","-0.525346652463113 (-2.8849814330254, 1.33034343808061)","-1.75568990821748 (-3.94100208080188, -0.184700980064376)","-2.23932932557644 (-4.44997387471948, -0.650870722545085)","-2.02881855769606 (-6.13358829908333, 2.11467914226398)","-2.0279735102632 (-4.10335406163707, -0.63731570539061)","-36.8273243769871 (-144.232691293424, -3.18743392932771)","-2.18901293519745 (-4.48602923131933, -0.367109533438504)","-39.1236183849652 (-114.626238089546, -4.33162686701778)","16.3926648361503 (-1.11936738437478, 68.3625869341542)","-2.45126256996888 (-5.06916611861237, -0.140504909018041)","22.0897146236213 (-1.06932789332867, 83.3517787563641)",Erlotinib_IGF_1Ri,"-2.10879983061164 (-4.24583748487689, -0.598416169574862)","-2.87200338837296 (-5.82241173582354, -0.465967841941756)","-1.72149591624834 (-3.81371860158609, -0.243233807256149)","-2.37754797899872 (-4.56514585207349, -0.777585856370036)","-1.13890537103026 (-3.68749872722094, 1.13255838286562)","-2.92961790537117 (-5.49760015823899, -0.816327519671644)","-1.52920507189845 (-3.83314138425845, 0.309036304361312)","-1.88206291219598 (-4.1419410295903, -0.192092538491609)","-0.876332688422519 (-3.41636532887131, 1.3280276268333)","-2.72408039206402 (-5.74622075847449, -0.137475367749326)","-2.32950469906704 (-4.51663099397489, -0.814653169213284)","-2.03731551255331 (-6.22835444840856, 1.92340912497729)","-1.39330197704931 (-3.59783530871207, 0.294913277209584)"
Erlotinib_METi,"0.253605117936191 (-0.635532058193483, 1.14922472033078)","1.34743678374752 (-0.625701608791531, 3.65359666257913)","39.0091410807663 (4.1053183249893, 100.989789570333)","1.59970419225534 (0.301441413506126, 2.91721855665879)","0.363313218570725 (-0.478950136424452, 1.19649636358491)","-0.129941186383291 (-1.06521639080589, 0.822505774515486)","0.135692254995734 (-3.52314226943132, 4.07221026164378)","0.0748560600910271 (-0.472298969549276, 0.67144857235117)","-34.5716248032547 (-142.089567723716, -1.11397211734687)","-0.0670805865557584 (-1.29712118226735, 1.24644467092235)","-36.9021917188032 (-112.225088133069, -2.21672944193817)","18.6509821935913 (1.13313329703784, 71.0202132381895)","-0.306499370248037 (-2.11009767682265, 1.58828578348117)","24.3496055305566 (1.32869444858838, 85.3538508349047)","2.10879983061164 (0.598416169574862, 4.24583748487689)",Erlotinib_METi,"-0.708266514497989 (-2.99766939260727, 1.2438269604425)","0.39017371756456 (-0.317515679732372, 1.11781192047861)","-0.25496740144486 (-1.24305076511754, 0.716549745362489)","0.995194822198486 (-0.666821860108791, 2.82479578981997)","-0.792170600281397 (-2.48501315593626, 0.839495195446537)","0.604835742358505 (-0.611743735652374, 1.85428256139179)","0.238279565344178 (-0.836070998596519, 1.32675649254733)","1.26634764712609 (-0.339502683098315, 2.9698228729232)","-0.547970228319779 (-2.98487328832277, 1.57768980504117)","-0.217918344256096 (-1.03877677822615, 0.5834604324346)","0.135134464058499 (-3.74129800104237, 3.83917131795485)","0.712178382549031 (-0.230557645646272, 1.85407458530609)"
Erlotinib_MMPi,"0.957673677657455 (-1.02421304995073, 3.29779119082706)","2.07254153479298 (-0.617695067922192, 5.17106057059004)","39.7654160651886 (4.78995576664155, 101.815852458525)","2.31520315603927 (0.105174480903448, 4.85549229473332)","1.06839239547219 (-0.886884309271532, 3.39288001972234)","0.585456831721897 (-1.43721640287779, 2.92919379381355)","0.873415230735692 (-3.28559983593164, 5.21421906588931)","0.780569704778463 (-1.06949014235522, 3.0178152442442)","-33.8204015360889 (-141.715047863701, -0.169766886670657)","0.649661563726865 (-1.52779030816709, 3.17698255636632)","-36.1895868060562 (-111.572259110998, -1.4745390358198)","19.3692893106968 (1.74839222327292, 71.5911698152539)","0.408711442557367 (-2.13328467262221, 3.26008050071976)","25.1246158422479 (1.90030614781229, 85.9629570289333)","2.87200338837296 (0.465967841941756, 5.82241173582354)","0.708266514497989 (-1.2438269604425, 2.99766939260727)",Erlotinib_MMPi,"1.0963501084871 (-0.794817101349027, 3.36450742772216)","0.452057112619533 (-1.56886671810925, 2.77481540075894)","1.71851261192959 (-0.73487159471694, 4.49650218844855)","-0.0829412465120817 (-2.54231025729351, 2.59495791342734)","1.3207445152844 (-0.826549992381089, 3.81530900662322)","0.947797237986969 (-1.10813897023583, 3.38106446808945)","1.98891697756878 (-0.413609318796308, 4.70210933048055)","0.150171568012911 (-2.84143369569684, 3.1607374488389)","0.483665079019734 (-1.46597090341676, 2.76119629910534)","0.861713581312492 (-3.42717818786419, 5.12468323897948)","1.42758563943298 (-0.56480794179681, 3.87269176740877)"
Erlotinib_antiangio,"-0.135578854112541 (-0.952309419314081, 0.676631787754511)","0.961435719346154 (-1.00056874703481, 3.23835387804037)","38.6253030708953 (3.69107350380768, 100.655033445928)","1.21351233609814 (-0.0594619863303912, 2.46383662657425)","-0.0298430110543912 (-0.804534164020327, 0.737014556697295)","-0.514349112093602 (-1.40078746459325, 0.366543456010725)","-0.250802130073349 (-3.93073578483854, 3.64897671032703)","-0.315517991083147 (-0.746103181804106, 0.137207348574278)","-34.9494797790067 (-142.679037008608, -1.44889220891931)","-0.451581938634901 (-1.66909055215289, 0.790775185378465)","-37.3664443308988 (-112.702328704796, -2.61294776309545)","18.2223901108879 (0.705053215266179, 70.5569761200036)","-0.692942418459031 (-2.48014557127602, 1.14653416139164)","23.9201524622461 (0.940015107594169, 84.8977343303162)","1.72149591624834 (0.243233807256149, 3.81371860158609)","-0.39017371756456 (-1.11781192047861, 0.317515679732372)","-1.0963501084871 (-3.36450742772216, 0.794817101349027)",Erlotinib_antiangio,"-0.647473840860778 (-1.5773621772455, 0.248753272358389)","0.605145696590961 (-1.04916066922886, 2.40354936717192)","-1.18094643202349 (-2.85371697317382, 0.410495243138243)","0.214830231188515 (-0.970697119663991, 1.41334692016005)","-0.150268556037925 (-1.17192779934384, 0.865632100571631)","0.87968934479093 (-0.695507700558479, 2.52453766340559)","-0.938960436048048 (-3.3740465378555, 1.16073878666013)","-0.613877074499447 (-1.37054824788583, 0.110505723739901)","-0.263763334320693 (-4.10060294288806, 3.45308927426844)","0.319791617134951 (-0.527920170579807, 1.34770831814397)"
Gefitinib,"0.511345118883479 (-0.269507714211949, 1.32436383850893)","1.60345696150649 (-0.326455246858155, 3.89480745099253)","39.293985164117 (4.3825653052876, 101.292728638649)","1.85661398823909 (0.713373490043737, 3.0286124490131)","0.622175118350728 (-0.182728064654716, 1.4236891958019)","0.127069328520677 (-0.860121695528053, 1.14617216610742)","0.393308223959381 (-3.33461610780518, 4.35807699418856)","0.330654359592402 (-0.45461649435632, 1.1717242747792)","-34.3534280071447 (-141.765895936169, -0.839740986127655)","0.195155305821978 (-1.18152882766983, 1.62790865208969)","-36.65346056236 (-112.124491292743, -1.99159920867421)","18.9436671415787 (1.38263647433092, 71.3199485939095)","-0.0405224778345809 (-1.93624946250837, 1.94888041889935)","24.5771001832945 (1.54789101780034, 85.5190071992567)","2.37754797899872 (0.777585856370036, 4.56514585207349)","0.25496740144486 (-0.716549745362489, 1.24305076511754)","-0.452057112619533 (-2.77481540075894, 1.56886671810925)","0.647473840860778 (-0.248753272358389, 1.5773621772455)",Gefitinib,"1.24150450455642 (-0.100566054264148, 2.82994701268368)","-0.523294884679617 (-2.15750608890009, 1.00991709666358)","0.857711667174779 (-0.131013686943114, 1.89371824025646)","0.50172950178774 (-0.444557502763699, 1.45892037296014)","1.52109123584082 (-0.00896190185144232, 3.14854273204572)","-0.289480526006696 (-2.66394235399477, 1.78999314594413)","0.0352431292396062 (-0.775188136083378, 0.848123034114791)","0.388045999052801 (-3.47501876450595, 4.11893388926655)","0.970789749728398 (-0.135172011836281, 2.26089295125)"
Gefitinib_chemotherapy,"-0.733785629337948 (-2.50285946304344, 0.814221567499683)","0.354625943786717 (-2.15440804359904, 2.98156560026484)","37.9437810226057 (3.07933522577256, 100.048544293401)","0.610978563187889 (-1.32708109590916, 2.38470111281095)","-0.634377063403893 (-2.38578150667148, 0.922278574991889)","-1.12441105418089 (-2.9739639075927, 0.549912052243964)","-0.893679463566347 (-4.86269053329275, 3.35854205259537)","-0.917687350919756 (-2.65748050515499, 0.657083975554242)","-35.3587206023372 (-142.607884099665, -2.102276472365)","-1.05757210161995 (-3.15353237121407, 0.892839075779218)","-37.8643625637792 (-113.397165084842, -3.24160433831441)","17.6906564372537 (0.0284553542279186, 69.928808172008)","-1.2976825467522 (-3.76297930590045, 1.08888006603165)","23.354393752672 (0.0637374080835088, 84.3514085131913)","1.13890537103026 (-1.13255838286562, 3.68749872722094)","-0.995194822198486 (-2.82479578981997, 0.666821860108791)","-1.71851261192959 (-4.49650218844855, 0.73487159471694)","-0.605145696590961 (-2.40354936717192, 1.04916066922886)","-1.24150450455642 (-2.82994701268368, 0.100566054264148)",Gefitinib_chemotherapy,"-1.79775732917614 (-4.02942070935528, 0.264161228712782)","-0.382211795885928 (-2.23841333833543, 1.29633077035441)","-0.754612088219455 (-2.58482305208879, 0.896621393949073)","0.265754365795991 (-1.90413943357388, 2.38419971230677)","-1.56337634335412 (-4.36943610722274, 0.923679581600772)","-1.21279505864147 (-2.99304525578907, 0.335016942739631)","-0.889171178350426 (-5.04490840827103, 3.08908494881549)","-0.281070522157691 (-2.16986136761887, 1.56598290040079)"
Gefitinib_Erlotinib,"1.04396258039352 (-0.515311110704584, 2.71147249131534)","2.15125108591201 (-0.217501336113368, 4.83050648696811)","39.7713191800651 (4.81998867553985, 101.846516062236)","2.39225681580121 (0.914962861371797, 3.96384443108787)","1.14656560516006 (-0.347570343838714, 2.71922247803509)","0.662156726679911 (-0.981167719243625, 2.39407457579229)","0.920507501513258 (-3.0013450119162, 5.09972163123764)","0.865966650211094 (-0.643404147741911, 2.47184126311822)","-33.8616393177223 (-141.465065703165, -0.210278038373081)","0.733126763222669 (-1.1609902989876, 2.71839287703395)","-36.1344462674718 (-111.49348391514, -1.3877590792296)","19.3964860499611 (1.87356546423219, 71.882301090408)","0.499355198404947 (-1.80010187217483, 2.91550025309893)","25.1676918303473 (2.03856918105703, 86.0442172715461)","2.92961790537117 (0.816327519671644, 5.49760015823899)","0.792170600281397 (-0.839495195446537, 2.48501315593626)","0.0829412465120817 (-2.59495791342734, 2.54231025729351)","1.18094643202349 (-0.410495243138243, 2.85371697317382)","0.523294884679617 (-1.00991709666358, 2.15750608890009)","1.79775732917614 (-0.264161228712782, 4.02942070935528)",Gefitinib_Erlotinib,"1.39554409804494 (-0.0912963329368246, 2.98863664470939)","1.02608963108676 (-0.180123194686183, 2.36345493570468)","2.06285780563819 (0.319314335001938, 3.91665264012242)","0.23501670833592 (-2.26679634860337, 2.52368759714137)","0.56666901897293 (-0.940840728983443, 2.15226061416242)","0.928621919022597 (-3.17783525440494, 4.86250471175152)","1.50988794068428 (-0.174397634723135, 3.39233993812656)"
Lazertinib,"-0.353835641135176 (-1.49447855252336, 0.782462144763252)","0.734996675708639 (-1.35383914763943, 3.16338034842148)","38.4140633046617 (3.45377053809287, 100.460475442649)","0.987708876296217 (0.112201110429199, 1.89786776194833)","-0.235956425271801 (-1.34481242412384, 0.817512955774531)","-0.738216999622207 (-1.99995426607284, 0.522614640161498)","-0.474173034038568 (-4.27848879434196, 3.54922687445094)","-0.530784864737628 (-1.6400251331438, 0.57172478005464)","-35.1988295326861 (-142.857229074014, -1.70550423869099)","-0.668701551662401 (-2.24920588021719, 0.933338923152587)","-37.5258591533792 (-112.927821553856, -2.819108541685)","18.0115569346829 (0.58441154120602, 70.420627733371)","-0.900069246848716 (-2.97428295892836, 1.19008267546624)","23.7564847662989 (0.664728047520516, 84.7337667252891)","1.52920507189845 (-0.309036304361312, 3.83314138425845)","-0.604835742358505 (-1.85428256139179, 0.611743735652374)","-1.3207445152844 (-3.81530900662322, 0.826549992381089)","-0.214830231188515 (-1.41334692016005, 0.970697119663991)","-0.857711667174779 (-1.89371824025646, 0.131013686943114)","0.382211795885928 (-1.29633077035441, 2.23841333833543)","-1.39554409804494 (-2.98863664470939, 0.0912963329368246)",Lazertinib,"-0.367633946113366 (-1.24316516694749, 0.521385353750137)","0.655734566378212 (-0.842947418224436, 2.26257000971712)","-1.15743274241244 (-3.50665086388123, 0.897416083205066)","-0.820501238349339 (-1.93536648883465, 0.24503938264004)","-0.470969747853041 (-4.3956880774098, 3.28623696862416)","0.115166646528345 (-1.24343021498694, 1.60758780020058)"
Osimertinib,"0.0139749230802042 (-0.978216087045757, 1.00212279005352)","1.10982983152632 (-0.930407858520129, 3.4692397375729)","38.7625176367895 (3.83918315483739, 100.886788946249)","1.35635118643239 (0.51791457061217, 2.22138349678231)","0.126111257592774 (-0.773571459509091, 0.976719877636339)","-0.370095430335571 (-1.4770617496091, 0.743775224444396)","-0.115360339349714 (-3.84609251467423, 3.87547067377459)","-0.157734155254292 (-1.08900537863332, 0.754200165743809)","-34.8302658558758 (-142.554972195553, -1.30837327337306)","-0.305975824868033 (-1.76796140881862, 1.18551946290675)","-37.1548754856643 (-112.476367218035, -2.46456639749207)","18.378590333302 (0.899291070313252, 70.6986226813238)","-0.544063130629395 (-2.50557677109783, 1.49384696124336)","24.1073790726157 (1.00776638731612, 85.0192845837849)","1.88206291219598 (0.192092538491609, 4.1419410295903)","-0.238279565344178 (-1.32675649254733, 0.836070998596519)","-0.947797237986969 (-3.38106446808945, 1.10813897023583)","0.150268556037925 (-0.865632100571631, 1.17192779934384)","-0.50172950178774 (-1.45892037296014, 0.444557502763699)","0.754612088219455 (-0.896621393949073, 2.58482305208879)","-1.02608963108676 (-2.36345493570468, 0.180123194686183)","0.367633946113366 (-0.521385353750137, 1.24316516694749)",Osimertinib,"1.01321350174205 (-0.185979452610664, 2.35830140268952)","-0.784239337834147 (-2.98170396531648, 1.05307057637609)","-0.458279904147049 (-1.36710339051568, 0.386794941110805)","-0.114671570558527 (-4.00560036386129, 3.60539246661778)","0.481737454650774 (-0.73124964719878, 1.81851435374361)"
Osimertinib_chemotherapy,"-1.01009089345743 (-2.65098900959929, 0.551765593650541)","0.0834017575292919 (-2.33421078660831, 2.72135298071208)","37.6374022189188 (2.80144551653995, 99.9039509373666)","0.333913198850832 (-1.23819579183665, 1.83183499313674)","-0.899350044085145 (-2.48798501770425, 0.56592253026854)","-1.39440888771351 (-3.10997269396984, 0.24612678236446)","-1.14783652844772 (-5.0606487491091, 3.1307507590569)","-1.19145882289155 (-2.7819298790551, 0.321440571634951)","-35.893830502023 (-143.348622056695, -2.27648984730748)","-1.33264945323799 (-3.28947278698101, 0.59217868538114)","-38.1898799026879 (-113.448996544906, -3.49377759179032)","17.3394316967172 (-0.194673010452699, 69.7471328182987)","-1.57347472100299 (-3.9442515083311, 0.793716942437009)","23.079220985103 (-0.0480018467785861, 84.0091982878517)","0.876332688422519 (-1.3280276268333, 3.41636532887131)","-1.26634764712609 (-2.9698228729232, 0.339502683098315)","-1.98891697756878 (-4.70210933048055, 0.413609318796308)","-0.87968934479093 (-2.52453766340559, 0.695507700558479)","-1.52109123584082 (-3.14854273204572, 0.00896190185144232)","-0.265754365795991 (-2.38419971230677, 1.90413943357388)","-2.06285780563819 (-3.91665264012242, -0.319314335001938)","-0.655734566378212 (-2.26257000971712, 0.842947418224436)","-1.01321350174205 (-2.35830140268952, 0.185979452610664)",Osimertinib_chemotherapy,"-1.8249861556661 (-4.39006553787684, 0.382503132069749)","-1.48560949076271 (-3.07627981069045, 0.00405136628603754)","-1.15818722356977 (-5.20926534739259, 2.77236875459521)","-0.545014437003241 (-2.33254460282281, 1.26500610651942)"
Osimertinib_antiangio,"0.801209925858529 (-1.26149885825059, 3.21048641867191)","1.9273497778351 (-0.835953446682405, 5.05887004400519)","39.5473936533665 (4.5419464571154, 101.636430885345)","2.14992818492605 (0.123961702746593, 4.48987186742462)","0.915048792749373 (-1.14108917918453, 3.26452358649729)","0.425659182464698 (-1.72381982337528, 2.87360215841301)","0.699517020865471 (-3.45022927781516, 5.18807440289152)","0.62358173633171 (-1.4161845469962, 3.01395764822017)","-33.7720790071643 (-142.129201505347, -0.556508251630132)","0.498540412165899 (-1.82374551046682, 3.1573805912663)","-36.2314666583524 (-111.731739644719, -1.58516037016803)","19.2739341588709 (1.65347186562743, 71.5813674189241)","0.275563937392859 (-2.42122326277842, 3.25622149342574)","24.9380973405946 (1.77707842391331, 85.7251437781406)","2.72408039206402 (0.137475367749326, 5.74622075847449)","0.547970228319779 (-1.57768980504117, 2.98487328832277)","-0.150171568012911 (-3.1607374488389, 2.84143369569684)","0.938960436048048 (-1.16073878666013, 3.3740465378555)","0.289480526006696 (-1.78999314594413, 2.66394235399477)","1.56337634335412 (-0.923679581600772, 4.36943610722274)","-0.23501670833592 (-2.52368759714137, 2.26679634860337)","1.15743274241244 (-0.897416083205066, 3.50665086388123)","0.784239337834147 (-1.05307057637609, 2.98170396531648)","1.8249861556661 (-0.382503132069749, 4.39006553787684)",Osimertinib_antiangio,"0.322378275227577 (-1.70507117842523, 2.68048760853477)","0.703854072146731 (-3.55905804915591, 4.96567874846914)","1.27512973894768 (-0.895318605587375, 3.85736114484833)"
Placebo,"0.471943559179303 (-0.259662893987285, 1.24655661596161)","1.57165707496519 (-0.354629619168016, 3.82964288588952)","39.2349864737205 (4.37201367056143, 101.334705886718)","1.8194120896981 (0.697392168183468, 2.99163190648357)","0.587820543713154 (-0.16912264739132, 1.33267163355327)","0.0922087922548476 (-0.703884479617629, 0.942594358728595)","0.358233714219669 (-3.32611994222319, 4.30526753010776)","0.298510783913827 (-0.277667324974816, 0.9109163501221)","-34.3140903561831 (-141.911943449146, -0.926992106092491)","0.155217220226447 (-1.11299749584933, 1.47620819475348)","-36.7411382994057 (-112.145412322035, -2.00529332309316)","18.8819226744216 (1.37368115783473, 71.1693495060731)","-0.0791029604545042 (-1.8790929270826, 1.8101895266916)","24.6029036316657 (1.53063567057821, 85.4531765669135)","2.32950469906704 (0.814653169213284, 4.51663099397489)","0.217918344256096 (-0.5834604324346, 1.03877677822615)","-0.483665079019734 (-2.76119629910534, 1.46597090341676)","0.613877074499447 (-0.110505723739901, 1.37054824788583)","-0.0352431292396062 (-0.848123034114791, 0.775188136083378)","1.21279505864147 (-0.335016942739631, 2.99304525578907)","-0.56666901897293 (-2.15226061416242, 0.940840728983443)","0.820501238349339 (-0.24503938264004, 1.93536648883465)","0.458279904147049 (-0.386794941110805, 1.36710339051568)","1.48560949076271 (-0.00405136628603754, 3.07627981069045)","-0.322378275227577 (-2.68048760853477, 1.70507117842523)",Placebo,"0.345544658653331 (-3.46751861586004, 4.06878729525118)","0.935131114548831 (-0.0280309348573112, 2.0932001060902)"
